test,held_out_chain,factor,horizon,train_rows,test_rows,n_timestamps,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,split,train_start,train_end,test_start,test_end,embargo_hours,n_observations
leave_one_chain_out,1,momentum_1h,24,7169.0,2910.0,87,0.422680412371134,87,-0.030788506477094076,-0.03636363636363636,0.3095056930691392,-0.9278539193984567,0.45977011494252873,-0.9278539193984567,0.3560801678129185,-1.1975377559561782,0.23109702051951264,24,0.23109702051951264,computed,,,,,,,
leave_one_chain_out,56,momentum_1h,24,7267.0,2812.0,72,0.6077524893314367,72,-0.01815624860914716,-0.0014822134387351778,0.21976576081792862,-0.7010231146828989,0.5,-0.701023114682899,0.48557984797467674,-0.8362656735902662,0.40300545960967815,24,0.40300545960967815,computed,,,,,,,
leave_one_chain_out,8453,momentum_1h,24,7169.0,2910.0,77,0.3556701030927835,77,-0.0002612551695821347,-0.0058823529411764705,0.3301543268327618,-0.006943736982331234,0.4805194805194805,-0.006943736982331234,0.9944779386330544,-0.008202578842405613,0.9934553623726703,24,0.9934553623726703,computed,,,,,,,
leave_one_chain_out,CT_501,momentum_1h,24,8632.0,1447.0,71,0.6378714581893573,71,0.06336447314077803,0.08391608391608392,0.28799935397073656,1.8538879814183802,0.5492957746478874,1.85388798141838,0.06796869349369124,1.8734712129612352,0.061003344307848394,24,0.061003344307848394,computed,,,,,,,
leave_one_chain_out,1,momentum_4h,24,7169.0,2910.0,85,0.3979381443298969,85,0.006046356666462293,0.01818181818181818,0.3403214958538818,0.16379997963758508,0.5176470588235295,0.16379997963758508,0.8702820841506196,0.13411705867024834,0.8933100106415836,24,0.8933100106415836,computed,,,,,,,
leave_one_chain_out,56,momentum_4h,24,7267.0,2812.0,69,0.5736130867709816,69,-0.014588552943940469,-0.028797289666854884,0.27502804743599046,-0.44061550499784286,0.4492753623188406,-0.4406155049978429,0.6608889578889786,-0.30795707924066973,0.7581149919395471,24,0.7581149919395471,computed,,,,,,,
leave_one_chain_out,8453,momentum_4h,24,7169.0,2910.0,76,0.34054982817869417,76,-0.02498717742525794,-0.009065934065934065,0.36298727487212584,-0.6001123941294616,0.47368421052631576,-0.6001123941294616,0.5502403116486067,-0.3266412530337077,0.7439392380876366,24,0.7439392380876366,computed,,,,,,,
leave_one_chain_out,CT_501,momentum_4h,24,8632.0,1447.0,68,0.6040082930200414,68,0.1314138283861467,0.1258741258741259,0.3037750087994842,3.5673316066663565,0.6176470588235294,3.5673316066663565,0.0006716789922026707,3.4303170804694565,0.0006028763000095784,24,0.0006028763000095784,computed,,,,,,,
leave_one_chain_out,1,momentum_24h,24,7169.0,2910.0,59,0.2793814432989691,59,-0.08352987989079713,-0.14835164835164835,0.38794498512961056,-1.653856104181408,0.4067796610169492,-1.653856104181408,0.10355962299258717,-0.8204724069261105,0.41194685303610457,24,0.41194685303610457,computed,,,,,,,
leave_one_chain_out,56,momentum_24h,24,7267.0,2812.0,48,0.4093172119487909,48,0.029782893233980184,0.04693675889328063,0.18535015602806604,1.1132547257169152,0.5625,1.1132547257169154,0.2712603611217226,0.9758872431136169,0.3291203445119427,24,0.3291203445119427,computed,,,,,,,
